
============================================================
[FPGA] ZDMA DDR-to-IP log started at 1781911494
============================================================
[FPGA][INFO] ready version=zcu104-gemma3-q8-zdma-ddr-to-ip-v1 path=dma(default) rows=256 col_beats=32 cols=512 packed_q8=1 max_group_blocks=16 result_words=1024 weight_cache=0 profile_log=1 dma_detail=0 ip_detail=0 detail_every=0 flush_every=256
[FPGA][INFO] msync unsupported for ddr_high source=/dev/uio13(ddr_high,O_SYNC) errno=22 (Invalid argument); continuing with CPU barriers/O_SYNC mapping assumption
[FPGA][MATMUL] tensor=blk.1.attn_q.weight layer=1 pos=0 phase=prefill M=2 K=1152 N=1024 rows=256 col_beats=32 vpu_runs=24 io_ms=3.870 ip_ms=2.538 total_ms=26.283 status=OK
[FPGA][MATMUL] tensor=blk.1.attn_k.weight layer=1 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.968 ip_ms=0.634 total_ms=6.632 status=OK
[FPGA][MATMUL] tensor=blk.1.attn_v.weight layer=1 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.967 ip_ms=0.635 total_ms=6.623 status=OK
[FPGA][MATMUL] tensor=blk.1.attn_output.weight layer=1 pos=0 phase=prefill M=2 K=1024 N=1152 rows=256 col_beats=32 vpu_runs=20 io_ms=3.247 ip_ms=2.271 total_ms=24.794 status=OK
[FPGA][MATMUL] tensor=blk.1.ffn_gate.weight layer=1 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.174 ip_ms=17.124 total_ms=177.900 status=OK
[FPGA][MATMUL] tensor=blk.1.ffn_up.weight layer=1 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.146 ip_ms=17.125 total_ms=177.289 status=OK
[FPGA][MATMUL] tensor=blk.1.ffn_down.weight layer=1 pos=0 phase=prefill M=2 K=6912 N=1152 rows=256 col_beats=32 vpu_runs=140 io_ms=22.447 ip_ms=15.535 total_ms=165.066 status=OK
[FPGA][MATMUL] tensor=blk.2.attn_q.weight layer=2 pos=0 phase=prefill M=2 K=1152 N=1024 rows=256 col_beats=32 vpu_runs=24 io_ms=3.868 ip_ms=2.537 total_ms=26.276 status=OK
[FPGA][MATMUL] tensor=blk.2.attn_k.weight layer=2 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.970 ip_ms=0.634 total_ms=6.591 status=OK
[FPGA][MATMUL] tensor=blk.2.attn_v.weight layer=2 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.968 ip_ms=0.635 total_ms=6.587 status=OK
[FPGA][MATMUL] tensor=blk.2.attn_output.weight layer=2 pos=0 phase=prefill M=2 K=1024 N=1152 rows=256 col_beats=32 vpu_runs=20 io_ms=3.245 ip_ms=2.271 total_ms=24.791 status=OK
[FPGA][MATMUL] tensor=blk.2.ffn_gate.weight layer=2 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.132 ip_ms=17.128 total_ms=177.291 status=OK
[FPGA][MATMUL] tensor=blk.2.ffn_up.weight layer=2 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.120 ip_ms=17.130 total_ms=177.743 status=OK
[FPGA][MATMUL] tensor=blk.2.ffn_down.weight layer=2 pos=0 phase=prefill M=2 K=6912 N=1152 rows=256 col_beats=32 vpu_runs=140 io_ms=22.443 ip_ms=15.791 total_ms=165.387 status=OK
[FPGA][MATMUL] tensor=blk.3.attn_q.weight layer=3 pos=0 phase=prefill M=2 K=1152 N=1024 rows=256 col_beats=32 vpu_runs=24 io_ms=3.869 ip_ms=2.540 total_ms=26.482 status=OK
[FPGA][MATMUL] tensor=blk.3.attn_k.weight layer=3 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.971 ip_ms=0.634 total_ms=6.580 status=OK
[FPGA][MATMUL] tensor=blk.3.attn_v.weight layer=3 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.969 ip_ms=0.634 total_ms=6.558 status=OK
[FPGA][MATMUL] tensor=blk.3.attn_output.weight layer=3 pos=0 phase=prefill M=2 K=1024 N=1152 rows=256 col_beats=32 vpu_runs=20 io_ms=3.253 ip_ms=2.272 total_ms=25.237 status=OK
[FPGA][MATMUL] tensor=blk.3.ffn_gate.weight layer=3 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.120 ip_ms=17.127 total_ms=177.242 status=OK
[FPGA][MATMUL] tensor=blk.3.ffn_up.weight layer=3 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.093 ip_ms=17.129 total_ms=177.369 status=OK
[FPGA][MATMUL] tensor=blk.3.ffn_down.weight layer=3 pos=0 phase=prefill M=2 K=6912 N=1152 rows=256 col_beats=32 vpu_runs=140 io_ms=22.435 ip_ms=15.524 total_ms=165.114 status=OK
[FPGA][MATMUL] tensor=blk.4.attn_q.weight layer=4 pos=0 phase=prefill M=2 K=1152 N=1024 rows=256 col_beats=32 vpu_runs=24 io_ms=3.872 ip_ms=2.539 total_ms=26.433 status=OK
[FPGA][MATMUL] tensor=blk.4.attn_k.weight layer=4 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.967 ip_ms=0.635 total_ms=6.643 status=OK
[FPGA][MATMUL] tensor=blk.4.attn_v.weight layer=4 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.969 ip_ms=0.634 total_ms=6.581 status=OK
[FPGA][MATMUL] tensor=blk.4.attn_output.weight layer=4 pos=0 phase=prefill M=2 K=1024 N=1152 rows=256 col_beats=32 vpu_runs=20 io_ms=3.246 ip_ms=2.274 total_ms=24.888 status=OK
[FPGA][MATMUL] tensor=blk.4.ffn_gate.weight layer=4 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.123 ip_ms=17.122 total_ms=177.924 status=OK
[FPGA][MATMUL] tensor=blk.4.ffn_up.weight layer=4 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.141 ip_ms=17.120 total_ms=177.335 status=OK
[FPGA][MATMUL] tensor=blk.4.ffn_down.weight layer=4 pos=0 phase=prefill M=2 K=6912 N=1152 rows=256 col_beats=32 vpu_runs=140 io_ms=22.447 ip_ms=15.627 total_ms=165.844 status=OK
[FPGA][MATMUL] tensor=blk.5.attn_q.weight layer=5 pos=0 phase=prefill M=2 K=1152 N=1024 rows=256 col_beats=32 vpu_runs=24 io_ms=3.873 ip_ms=2.572 total_ms=26.266 status=OK
[FPGA][MATMUL] tensor=blk.5.attn_k.weight layer=5 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.972 ip_ms=0.633 total_ms=6.594 status=OK
[FPGA][MATMUL] tensor=blk.5.attn_v.weight layer=5 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.971 ip_ms=0.634 total_ms=6.578 status=OK
[FPGA][MATMUL] tensor=blk.5.attn_output.weight layer=5 pos=0 phase=prefill M=2 K=1024 N=1152 rows=256 col_beats=32 vpu_runs=20 io_ms=3.246 ip_ms=2.273 total_ms=24.788 status=OK
[FPGA][MATMUL] tensor=blk.5.ffn_gate.weight layer=5 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.113 ip_ms=17.127 total_ms=177.522 status=OK
[FPGA][MATMUL] tensor=blk.5.ffn_up.weight layer=5 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.115 ip_ms=17.132 total_ms=177.580 status=OK
[FPGA][MATMUL] tensor=blk.5.ffn_down.weight layer=5 pos=0 phase=prefill M=2 K=6912 N=1152 rows=256 col_beats=32 vpu_runs=140 io_ms=22.438 ip_ms=15.533 total_ms=165.394 status=OK
[FPGA][MATMUL] tensor=blk.6.attn_q.weight layer=6 pos=0 phase=prefill M=2 K=1152 N=1024 rows=256 col_beats=32 vpu_runs=24 io_ms=3.866 ip_ms=2.547 total_ms=26.268 status=OK
[FPGA][MATMUL] tensor=blk.6.attn_k.weight layer=6 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.969 ip_ms=0.635 total_ms=6.657 status=OK
[FPGA][MATMUL] tensor=blk.6.attn_v.weight layer=6 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.969 ip_ms=0.634 total_ms=6.609 status=OK
[FPGA][MATMUL] tensor=blk.6.attn_output.weight layer=6 pos=0 phase=prefill M=2 K=1024 N=1152 rows=256 col_beats=32 vpu_runs=20 io_ms=3.245 ip_ms=2.274 total_ms=24.960 status=OK
[FPGA][MATMUL] tensor=blk.6.ffn_gate.weight layer=6 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.111 ip_ms=17.117 total_ms=177.518 status=OK
[FPGA][MATMUL] tensor=blk.6.ffn_up.weight layer=6 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.205 ip_ms=17.125 total_ms=178.041 status=OK
[FPGA][MATMUL] tensor=blk.6.ffn_down.weight layer=6 pos=0 phase=prefill M=2 K=6912 N=1152 rows=256 col_beats=32 vpu_runs=140 io_ms=22.413 ip_ms=15.539 total_ms=165.052 status=OK
[FPGA][MATMUL] tensor=blk.7.attn_q.weight layer=7 pos=0 phase=prefill M=2 K=1152 N=1024 rows=256 col_beats=32 vpu_runs=24 io_ms=3.868 ip_ms=2.539 total_ms=26.439 status=OK
[FPGA][MATMUL] tensor=blk.7.attn_k.weight layer=7 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.982 ip_ms=0.634 total_ms=6.597 status=OK
[FPGA][MATMUL] tensor=blk.7.attn_v.weight layer=7 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.968 ip_ms=0.636 total_ms=6.568 status=OK
[FPGA][MATMUL] tensor=blk.7.attn_output.weight layer=7 pos=0 phase=prefill M=2 K=1024 N=1152 rows=256 col_beats=32 vpu_runs=20 io_ms=3.252 ip_ms=2.271 total_ms=24.723 status=OK
[FPGA][MATMUL] tensor=blk.7.ffn_gate.weight layer=7 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.151 ip_ms=17.125 total_ms=177.529 status=OK
[FPGA][MATMUL] tensor=blk.7.ffn_up.weight layer=7 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.112 ip_ms=17.125 total_ms=177.782 status=OK
[FPGA][MATMUL] tensor=blk.7.ffn_down.weight layer=7 pos=0 phase=prefill M=2 K=6912 N=1152 rows=256 col_beats=32 vpu_runs=140 io_ms=22.494 ip_ms=15.537 total_ms=165.400 status=OK
[FPGA][MATMUL] tensor=blk.8.attn_q.weight layer=8 pos=0 phase=prefill M=2 K=1152 N=1024 rows=256 col_beats=32 vpu_runs=24 io_ms=3.860 ip_ms=2.536 total_ms=26.308 status=OK
[FPGA][MATMUL] tensor=blk.8.attn_k.weight layer=8 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.971 ip_ms=0.635 total_ms=6.635 status=OK
[FPGA][MATMUL] tensor=blk.8.attn_v.weight layer=8 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.970 ip_ms=0.634 total_ms=6.605 status=OK
[FPGA][MATMUL] tensor=blk.8.attn_output.weight layer=8 pos=0 phase=prefill M=2 K=1024 N=1152 rows=256 col_beats=32 vpu_runs=20 io_ms=3.246 ip_ms=2.272 total_ms=24.778 status=OK
[FPGA][MATMUL] tensor=blk.8.ffn_gate.weight layer=8 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.136 ip_ms=17.136 total_ms=178.542 status=OK
[FPGA][MATMUL] tensor=blk.8.ffn_up.weight layer=8 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.144 ip_ms=17.128 total_ms=177.987 status=OK
[FPGA][MATMUL] tensor=blk.8.ffn_down.weight layer=8 pos=0 phase=prefill M=2 K=6912 N=1152 rows=256 col_beats=32 vpu_runs=140 io_ms=22.468 ip_ms=15.532 total_ms=165.366 status=OK
[FPGA][MATMUL] tensor=blk.9.attn_q.weight layer=9 pos=0 phase=prefill M=2 K=1152 N=1024 rows=256 col_beats=32 vpu_runs=24 io_ms=3.876 ip_ms=2.536 total_ms=26.488 status=OK
[FPGA][MATMUL] tensor=blk.9.attn_k.weight layer=9 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.967 ip_ms=0.634 total_ms=6.645 status=OK
[FPGA][MATMUL] tensor=blk.9.attn_v.weight layer=9 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.968 ip_ms=0.634 total_ms=6.567 status=OK
[FPGA][MATMUL] tensor=blk.9.attn_output.weight layer=9 pos=0 phase=prefill M=2 K=1024 N=1152 rows=256 col_beats=32 vpu_runs=20 io_ms=3.248 ip_ms=2.272 total_ms=24.776 status=OK
[FPGA][MATMUL] tensor=blk.9.ffn_gate.weight layer=9 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.112 ip_ms=17.148 total_ms=177.517 status=OK
[FPGA][MATMUL] tensor=blk.9.ffn_up.weight layer=9 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.130 ip_ms=17.122 total_ms=177.563 status=OK
[FPGA][MATMUL] tensor=blk.9.ffn_down.weight layer=9 pos=0 phase=prefill M=2 K=6912 N=1152 rows=256 col_beats=32 vpu_runs=140 io_ms=22.440 ip_ms=15.674 total_ms=166.233 status=OK
[FPGA][MATMUL] tensor=blk.10.attn_q.weight layer=10 pos=0 phase=prefill M=2 K=1152 N=1024 rows=256 col_beats=32 vpu_runs=24 io_ms=3.873 ip_ms=2.535 total_ms=26.412 status=OK
[FPGA][MATMUL] tensor=blk.10.attn_k.weight layer=10 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.971 ip_ms=0.634 total_ms=6.643 status=OK
[FPGA][MATMUL] tensor=blk.10.attn_v.weight layer=10 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.967 ip_ms=0.635 total_ms=6.572 status=OK
[FPGA][MATMUL] tensor=blk.10.attn_output.weight layer=10 pos=0 phase=prefill M=2 K=1024 N=1152 rows=256 col_beats=32 vpu_runs=20 io_ms=3.252 ip_ms=2.272 total_ms=24.887 status=OK
[FPGA][MATMUL] tensor=blk.10.ffn_gate.weight layer=10 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.094 ip_ms=17.133 total_ms=177.686 status=OK
[FPGA][MATMUL] tensor=blk.10.ffn_up.weight layer=10 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.123 ip_ms=17.130 total_ms=177.158 status=OK
[FPGA][MATMUL] tensor=blk.10.ffn_down.weight layer=10 pos=0 phase=prefill M=2 K=6912 N=1152 rows=256 col_beats=32 vpu_runs=140 io_ms=22.447 ip_ms=15.736 total_ms=165.470 status=OK
[FPGA][MATMUL] tensor=blk.11.attn_q.weight layer=11 pos=0 phase=prefill M=2 K=1152 N=1024 rows=256 col_beats=32 vpu_runs=24 io_ms=3.866 ip_ms=2.537 total_ms=26.244 status=OK
[FPGA][MATMUL] tensor=blk.11.attn_k.weight layer=11 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.971 ip_ms=0.634 total_ms=6.601 status=OK
[FPGA][MATMUL] tensor=blk.11.attn_v.weight layer=11 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.975 ip_ms=0.633 total_ms=6.597 status=OK
[FPGA][MATMUL] tensor=blk.11.attn_output.weight layer=11 pos=0 phase=prefill M=2 K=1024 N=1152 rows=256 col_beats=32 vpu_runs=20 io_ms=3.244 ip_ms=2.273 total_ms=24.879 status=OK
[FPGA][MATMUL] tensor=blk.11.ffn_gate.weight layer=11 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.164 ip_ms=17.127 total_ms=177.501 status=OK
[FPGA][MATMUL] tensor=blk.11.ffn_up.weight layer=11 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.139 ip_ms=17.274 total_ms=178.275 status=OK
[FPGA][MATMUL] tensor=blk.11.ffn_down.weight layer=11 pos=0 phase=prefill M=2 K=6912 N=1152 rows=256 col_beats=32 vpu_runs=140 io_ms=22.449 ip_ms=15.535 total_ms=165.093 status=OK
[FPGA][MATMUL] tensor=blk.12.attn_q.weight layer=12 pos=0 phase=prefill M=2 K=1152 N=1024 rows=256 col_beats=32 vpu_runs=24 io_ms=3.869 ip_ms=2.538 total_ms=26.297 status=OK
[FPGA][MATMUL] tensor=blk.12.attn_k.weight layer=12 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.972 ip_ms=0.633 total_ms=6.634 status=OK
[FPGA][MATMUL] tensor=blk.12.attn_v.weight layer=12 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.965 ip_ms=0.635 total_ms=6.569 status=OK
[FPGA][MATMUL] tensor=blk.12.attn_output.weight layer=12 pos=0 phase=prefill M=2 K=1024 N=1152 rows=256 col_beats=32 vpu_runs=20 io_ms=3.248 ip_ms=2.272 total_ms=24.812 status=OK
[FPGA][MATMUL] tensor=blk.12.ffn_gate.weight layer=12 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.130 ip_ms=17.122 total_ms=177.742 status=OK
[FPGA][MATMUL] tensor=blk.12.ffn_up.weight layer=12 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.105 ip_ms=17.133 total_ms=177.776 status=OK
[FPGA][MATMUL] tensor=blk.12.ffn_down.weight layer=12 pos=0 phase=prefill M=2 K=6912 N=1152 rows=256 col_beats=32 vpu_runs=140 io_ms=22.477 ip_ms=15.541 total_ms=165.034 status=OK
[FPGA][MATMUL] tensor=blk.13.attn_q.weight layer=13 pos=0 phase=prefill M=2 K=1152 N=1024 rows=256 col_beats=32 vpu_runs=24 io_ms=3.868 ip_ms=2.538 total_ms=26.274 status=OK
[FPGA][MATMUL] tensor=blk.13.attn_k.weight layer=13 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.971 ip_ms=0.634 total_ms=6.627 status=OK
[FPGA][MATMUL] tensor=blk.13.attn_v.weight layer=13 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.970 ip_ms=0.636 total_ms=6.648 status=OK
[FPGA][MATMUL] tensor=blk.13.attn_output.weight layer=13 pos=0 phase=prefill M=2 K=1024 N=1152 rows=256 col_beats=32 vpu_runs=20 io_ms=3.248 ip_ms=2.273 total_ms=24.796 status=OK
[FPGA][MATMUL] tensor=blk.13.ffn_gate.weight layer=13 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.121 ip_ms=17.121 total_ms=179.298 status=OK
[FPGA][MATMUL] tensor=blk.13.ffn_up.weight layer=13 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.106 ip_ms=17.147 total_ms=177.154 status=OK
[FPGA][MATMUL] tensor=blk.13.ffn_down.weight layer=13 pos=0 phase=prefill M=2 K=6912 N=1152 rows=256 col_beats=32 vpu_runs=140 io_ms=22.432 ip_ms=15.530 total_ms=165.368 status=OK
[FPGA][MATMUL] tensor=blk.14.attn_q.weight layer=14 pos=0 phase=prefill M=2 K=1152 N=1024 rows=256 col_beats=32 vpu_runs=24 io_ms=3.865 ip_ms=2.538 total_ms=26.387 status=OK
[FPGA][MATMUL] tensor=blk.14.attn_k.weight layer=14 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.970 ip_ms=0.635 total_ms=6.619 status=OK
[FPGA][MATMUL] tensor=blk.14.attn_v.weight layer=14 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.965 ip_ms=0.635 total_ms=6.594 status=OK
[FPGA][MATMUL] tensor=blk.14.attn_output.weight layer=14 pos=0 phase=prefill M=2 K=1024 N=1152 rows=256 col_beats=32 vpu_runs=20 io_ms=3.250 ip_ms=2.272 total_ms=24.806 status=OK
[FPGA][MATMUL] tensor=blk.14.ffn_gate.weight layer=14 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.110 ip_ms=17.120 total_ms=177.193 status=OK
[FPGA][MATMUL] tensor=blk.14.ffn_up.weight layer=14 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.114 ip_ms=17.127 total_ms=177.293 status=OK
[FPGA][MATMUL] tensor=blk.14.ffn_down.weight layer=14 pos=0 phase=prefill M=2 K=6912 N=1152 rows=256 col_beats=32 vpu_runs=140 io_ms=22.507 ip_ms=15.536 total_ms=165.198 status=OK
[FPGA][MATMUL] tensor=blk.15.attn_q.weight layer=15 pos=0 phase=prefill M=2 K=1152 N=1024 rows=256 col_beats=32 vpu_runs=24 io_ms=3.877 ip_ms=2.538 total_ms=27.626 status=OK
[FPGA][MATMUL] tensor=blk.15.attn_k.weight layer=15 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.970 ip_ms=0.634 total_ms=6.596 status=OK
[FPGA][MATMUL] tensor=blk.15.attn_v.weight layer=15 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.969 ip_ms=0.634 total_ms=6.604 status=OK
[FPGA][MATMUL] tensor=blk.15.attn_output.weight layer=15 pos=0 phase=prefill M=2 K=1024 N=1152 rows=256 col_beats=32 vpu_runs=20 io_ms=3.243 ip_ms=2.276 total_ms=24.834 status=OK
[FPGA][MATMUL] tensor=blk.15.ffn_gate.weight layer=15 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.113 ip_ms=17.123 total_ms=177.610 status=OK
[FPGA][MATMUL] tensor=blk.15.ffn_up.weight layer=15 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.126 ip_ms=17.123 total_ms=177.986 status=OK
[FPGA][MATMUL] tensor=blk.15.ffn_down.weight layer=15 pos=0 phase=prefill M=2 K=6912 N=1152 rows=256 col_beats=32 vpu_runs=140 io_ms=22.463 ip_ms=15.538 total_ms=165.199 status=OK
[FPGA][MATMUL] tensor=blk.16.attn_q.weight layer=16 pos=0 phase=prefill M=2 K=1152 N=1024 rows=256 col_beats=32 vpu_runs=24 io_ms=3.862 ip_ms=2.537 total_ms=26.487 status=OK
[FPGA][MATMUL] tensor=blk.16.attn_k.weight layer=16 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.969 ip_ms=0.635 total_ms=6.606 status=OK
[FPGA][MATMUL] tensor=blk.16.attn_v.weight layer=16 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.967 ip_ms=0.634 total_ms=6.572 status=OK
[FPGA][MATMUL] tensor=blk.16.attn_output.weight layer=16 pos=0 phase=prefill M=2 K=1024 N=1152 rows=256 col_beats=32 vpu_runs=20 io_ms=3.256 ip_ms=2.271 total_ms=24.842 status=OK
[FPGA][MATMUL] tensor=blk.16.ffn_gate.weight layer=16 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.116 ip_ms=17.131 total_ms=177.672 status=OK
[FPGA][MATMUL] tensor=blk.16.ffn_up.weight layer=16 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.117 ip_ms=17.259 total_ms=177.480 status=OK
